150,15,happy,angry,sad,,,,,,,,,,,
-0.385140192,-1.164176045,-0.012630692,-1.33416501,-0.251448114,-0.787152241,-0.331735366,-0.748787437,-0.061011339,-0.085096062,0.127299497,0.483279751,0.578623491,0.365029029,0.380283803,0
-0.255021282,-0.65039701,0.34157559,-0.707039592,-0.303306748,-0.911656351,-0.471862941,-0.65302123,-0.429698514,-0.024286052,-0.428376062,-0.575466627,-0.016056439,-0.379792479,-0.405122046,0
0.074545819,-0.936795749,0.19703695,-0.60545918,-0.209969176,-1.059814922,-0.590603423,-0.637082361,-0.436378363,-0.13509644,-0.45811264,-0.701313994,0.099256808,-0.265287757,-0.315890233,0
-2.200879991,-1.710380454,0.270688595,-1.405902009,-0.298322895,-0.946816074,-0.287777037,-0.857707427,-0.405048692,0.247265189,-0.154292887,0.438060861,0.331151684,-0.184381186,0.310140178,0
-1.371864292,-2.161095291,0.291045881,-1.723619366,-0.183149198,-1.31494255,-0.46766445,-0.849695459,-0.812950613,0.045670297,-0.680822343,0.144095449,0.190074464,-0.413976915,0.099031049,0
0.122481198,0.030242036,0.73591455,-0.577449212,-0.405396968,-0.471397584,-0.387302806,-0.642736528,0.232851891,-0.154070325,-0.104466646,-0.322109948,0.107174981,-0.364054201,-0.225116873,0
0.143313371,-0.732348227,-0.042711167,-0.947138364,-0.427801759,-0.953459872,-0.599423208,-0.797133793,-0.10336378,-0.238601203,-0.34637174,-0.530975118,-0.112391474,-0.313166523,-0.246730419,0
-0.692240561,-0.701946653,-0.628522561,-1.194204434,-0.536963136,-1.26585413,-0.395898731,-0.680620739,-0.50682163,-0.152517966,-0.097082945,0.034195978,0.455347224,-0.102411349,0.372992117,0
-0.450914029,-1.312528697,0.197185932,-1.66444663,-0.344441236,-0.98891593,-0.77542492,-0.219610743,-0.289164479,-0.196863605,-0.221185608,0.261817939,-0.136330981,0.158745641,0.343514354,0
-0.959237198,-1.678913081,0.119251637,-1.715727226,-0.373294816,-1.167877453,-0.763281848,-0.101087193,-0.513378818,-0.019663025,-0.262943121,0.341603577,-0.026985834,0.389483631,0.491986926,0
